t-SNE1,t-SNE2,Label
-21.520515,8.330465,2
21.175093,8.158969,3
-0.52229506,-11.158842,1
21.078978,-17.88533,2
19.848146,-14.586871,0
14.075655,-18.32277,2
-0.7362026,-20.090132,2
13.3808155,-8.790781,3
20.451838,5.4903154,3
20.611616,-19.394592,2
-8.136831,-18.91152,3
26.415297,6.3930197,1
-4.951831,-20.13953,2
24.57445,-5.4031363,0
2.0505366,25.078203,3
19.757835,-25.445944,3
22.443153,-16.994215,0
-17.075132,-12.596128,2
-8.394635,-8.128428,3
5.449102,14.086031,0
25.494213,-0.8598767,1
30.283104,1.2525535,3
-8.730862,-19.43306,1
27.10836,-6.037876,3
-7.4792514,2.792089,2
-6.286074,5.759797,3
7.7293344,27.204987,1
1.5010787,-8.088587,3
20.118025,-7.426439,3
-13.129857,2.893524,0
8.720856,-19.943544,2
17.45673,28.196913,0
-17.84754,0.26600292,3
23.890865,13.988739,0
25.039425,-11.76048,2
15.4092865,12.086781,0
25.360134,-13.375482,2
-13.464264,-22.187199,2
25.992586,12.375339,3
14.584495,21.489803,1
8.587573,-27.510242,1
-20.884659,13.446906,3
-28.920307,2.2198899,3
-23.691471,-5.4472685,3
-8.937509,-2.587622,3
-26.410944,8.3367815,2
-18.96711,-16.766556,1
-33.806202,4.923536,3
27.302021,20.188522,0
22.482838,-6.432734,0
-25.598598,20.350317,3
19.828144,5.5919867,0
18.864626,-15.143459,3
9.920072,-33.3417,0
-0.39715597,10.37247,0
2.429007,-30.842976,1
-16.592543,7.41787,3
-22.158052,-5.0820246,3
12.181845,-31.505527,3
-16.196266,17.435966,3
5.2820396,-19.886387,2
12.084831,-27.07469,3
22.93196,-14.782906,0
-19.498165,25.426983,0
-17.608091,-7.939912,3
5.40976,-16.030233,0
30.114296,2.916611,3
-19.089474,12.010079,1
-17.739752,12.78896,1
6.904689,-15.376981,2
-31.340422,0.062492017,0
-25.589863,-19.761995,1
16.346718,-24.092327,3
17.90106,-14.206096,3
-6.001126,-31.154892,2
-2.0005064,5.45854,3
-10.714824,-17.358744,2
-23.986877,-13.170436,3
3.9741573,-32.153713,1
-4.4518595,4.8255115,2
0.8584054,-9.7237425,3
-24.961277,-14.898416,2
-4.916112,-7.084805,3
10.545737,-16.141672,3
-20.003092,-7.5458817,3
13.711782,1.2856255,2
-15.658059,26.866436,1
13.684135,-23.598106,2
-15.518588,6.737731,2
19.20655,-4.7093635,3
2.482968,-19.17894,1
-11.447883,-13.424328,0
-4.936073,28.63465,3
18.089739,16.1559,0
7.335536,-1.1957625,1
